location,public_hours,winter_play,type,lights,courts,place,additional,latitude_old,longitude_old,coord_mannual,latitude,longitude
Pine Point ParkClub: Pine Point Tennis ClubWebsite: http://www.pinepointtennis.comMembership: Open,,Yes,Club,Yes,4,Pine Point Park, Pine Point Tennis ClubWebsite: http://www.pinepointtennis.comMembership: Open,43.7117023,-79.54881417,"43.71148079533864, -79.54949651456869",43.7114808,-79.54949651
Prairie Drive Park,,,Public,Yes,3,Prairie Drive Park,,43.6971139,-79.28441367,,43.6971139,-79.28441367
Prince of Wales Park,,,Public,Yes,4,Prince of Wales Park,,43.599014,-79.49875786,,43.599014,-79.49875786
Princess Anne Park,,,Public,No,2,Princess Anne Park,,43.6728351,-79.53969891,,43.6728351,-79.53969891
Queensway Park,,,,,1,Queensway Park,,43.6276162,-79.50604539,"43.62664820440814, -79.50606147691423",43.6266482,-79.50606148
Ramsden Park,,Yes,Public,No,12,Ramsden Park,,43.67640525,-79.39301381,"43.676463590711315, -79.39466687257395",43.67646359,-79.39466687
Rennie ParkClub: The Swansea Tennis ClubWebsite: http://www.swanseatennis.comMembership: Open,Saturdays 5 p.m. - 11 p.m.,,Club,Yes,4,Rennie Park, The Swansea Tennis ClubWebsite: http://www.swanseatennis.comMembership: Open,43.6424526,-79.47294772,"43.64479554288097, -79.47352155502728",43.64479554,-79.47352156
Riverdale Park East,,Yes,Public,No,7,Riverdale Park East,,43.66992585,-79.35529653,"43.67196928629595, -79.35579808659863",43.67196929,-79.35579809
Rockford Park,,,Public,Yes,2,Rockford Park,,43.78650905,-79.45419064,"43.786066503003276, -79.45327655076998",43.7860665,-79.45327655
Rosedale ParkClub: The Rosedale Tennis ClubWebsite: http://www.rosedaletennis.comMembership: Waitlist,Sundays 3 p.m. - duskSaturdays 5 p.m. - dusk,,Club,No,8,Rosedale Park, The Rosedale Tennis ClubWebsite: http://www.rosedaletennis.comMembership: Waitlist,43.68269585,-79.37887752,,43.68269585,-79.37887752
Rosethorn ParkClub: The Rosethorn Tennis ClubWebsite: http://www.rosethorntennis.comMembership: Waitlist,Saturdays 7 p.m. - 11 p.m.Sundays 9 p.m. - 11 p.m.,,Club,Yes,3,Rosethorn Park, The Rosethorn Tennis ClubWebsite: http://www.rosethorntennis.comMembership: Waitlist,43.6584742,-79.53909745,,43.6584742,-79.53909745
Rotary Peace Park,,Yes,Public,No,2,Rotary Peace Park,,43.59461535,-79.50642877,"43.59534599963914, -79.50809633747032",43.595346,-79.50809634
Roywood Park,,Yes,Public,Yes,4,Roywood Park,,43.76525155,-79.32077253,"43.76379412583533, -79.32084828972455",43.76379413,-79.32084829
Ruddington Park,,,Public,Yes,3,Ruddington Park,,43.7921232,-79.38912785,"43.792529177011275, -79.38965539486128",43.79252918,-79.38965539
Runnymede Park,,Yes,Public,No,2,Runnymede Park,,43.66816235,-79.47929235,"43.66820199411437, -79.47782385777298",43.66820199,-79.47782386
Scarlett Mills ParkClub: Edenbridge Tennis ClubWebsite: https://edenbridgetennis.com/Membership: Open,Saturdays 8 p.m. - 11 p.m.Sundays 8 p.m. - 11 p.m.Holidays 8 p.m. - 11 p.m.,,Club,Yes,4,Scarlett Mills Park, Edenbridge Tennis ClubWebsite: https://edenbridgetennis.com/Membership: Open,43.679648,-79.5086588,"43.67620303066063, -79.51071805915952",43.67620303,-79.51071806
Seneca Hill ParkClub: Seneca Hill Tennis ClubWebsite: http://www.senecahilltennis.comMembership: Open,Saturdays 2 p.m. - 5 p.m.Sundays 2 p.m. - 5 p.m.,,Club,Yes,4,Seneca Hill Park, Seneca Hill Tennis ClubWebsite: http://www.senecahilltennis.comMembership: Open,43.7914418,-79.35165411,,43.7914418,-79.35165411
Sentinel Park,,Yes,Public,No,2,Sentinel Park,,43.75425365,-79.49717782,,43.75425365,-79.49717782
Seven Oaks ParkClub: Seven Oaks Tennis ClubMembership: Open,Saturdays 3 p.m. - 6 p.m.Sundays 3 p.m. - 6 p.m.Holidays 4 p.m. - 6 p.m.,,Club,Yes,3,Seven Oaks Park, Seven Oaks Tennis ClubMembership: Open,43.7880087,-79.21082291,,43.7880087,-79.21082291
Shawnee Park,,Yes,Public,No,4,Shawnee Park,,43.7968923,-79.33843273,,43.7968923,-79.33843273
Silver Creek ParkClub: Silver Creek Seniors Tennis Club,,Yes,Club,Yes,3,Silver Creek Park, Silver Creek Seniors Tennis Club,43.6828622,-79.54326737,"43.68206136373764, -79.54484894948405",43.68206136,-79.54484895
Sir Adam Beck Park,,,Public,Yes,2,Sir Adam Beck Park,,43.6022652,-79.54835443,,43.6022652,-79.54835443
Sir Winston Churchill ParkClub: Sir Winston Churchill Tennis ClubWebsite: http://www.winstonchurchilltennis.caMembership: Waitlist,,,Club,Yes,7,Sir Winston Churchill Park, Sir Winston Churchill Tennis ClubWebsite: http://www.winstonchurchilltennis.caMembership: Waitlist,43.6834951,-79.40923217,,43.6834951,-79.40923217
Sorauren Avenue Park,,Yes,Public,No,2,Sorauren Avenue Park,,43.6465127,-79.4435402,"43.64904660320001, -79.44419741609013",43.6490466,-79.44419742
Stanley Greene Park,,,,Yes,2,Stanley Greene Park,,43.7344485,-79.47735082,"43.734643137095425, -79.4779446557338",43.73464314,-79.47794466
Stanley Park,,,Public,No,3,Stanley Park,,43.6420002,-79.40896728,"43.74151984657754, -79.51562745635582",43.74151985,-79.51562746
Stanley Park South - Toronto,,,Public,No,2,Stanley Park South - Toronto,,43.6420002,-79.40896728,"43.641668886291946, -79.40815943194089",43.64166889,-79.40815943
Stephen Leacock ParkClub: Stephen Leacock Tennis ClubWebsite: http://www.stephenleacock-tennis.caMembership: Open,Sundays 12 p.m. - 6 p.m.Holidays 12 p.m. - 2 p.m.,,Club,Yes,4,Stephen Leacock Park, Stephen Leacock Tennis ClubWebsite: http://www.stephenleacock-tennis.caMembership: Open,43.78674415,-79.30237958,,43.78674415,-79.30237958
Strathburn Park,,,Public,Yes,2,Strathburn Park,,43.72213305,-79.53281163,,43.72213305,-79.53281163
Summerlea Park,,,Public,Yes,2,Summerlea Park,,43.7284364,-79.55218854,"43.728231336724185, -79.55207838531126",43.72823134,-79.55207839
Sunnylea Park,,Yes,Public,Yes,2,Sunnylea Park,,43.64159705,-79.5016654,,43.64159705,-79.5016654
Sweeney Park,,,Public,Yes,3,Sweeney Park,,43.7363473,-79.3075826,"43.73583195483789, -79.31547776838751",43.73583195,-79.31547777
Symington Avenue Playground,,Yes,Public,No,2,Symington Avenue Playground,,43.6666226,-79.45226884,,43.6666226,-79.45226884
Thomson Memorial ParkClub: Thomson Park Tennis ClubMembership: Open,Sundays 4 p.m. - 6 p.m.Mondays 4 p.m. - 6 p.m.Tuesdays 4 p.m. - 6 p.m.,,Club,Yes,3,Thomson Memorial Park, Thomson Park Tennis ClubMembership: Open,43.75890025,-79.25313514,"43.756075128681296, -79.25466767425196",43.75607513,-79.25466767
Tom Riley ParkClub: Central Tennis ClubWebsite: http://www.centraltennisclub.comMembership: Waitlist,Sundays 8 p.m. - 11 p.m.Saturdays 7 p.m. - 11 p.m.Holidays 8 p.m. - 11 p.m.,Yes,Club,Yes,3,Tom Riley Park, Central Tennis ClubWebsite: http://www.centraltennisclub.comMembership: Waitlist,43.6506629,-79.5249986,"43.64793077795646, -79.51983441994011",43.64793078,-79.51983442
Topham Park,,Yes,Public,Yes,2,Topham Park,,43.7098724,-79.30652856,"43.710909474416546, -79.30657679868993",43.71090947,-79.3065768
Trace Manes ParkClub: Leaside Tennis ClubWebsite: http://www.leasidetennis.orgMembership: Waitlist,Sundays 9 p.m. - 11 p.m.Saturdays 7 p.m. - 11 p.m.,,Club,Yes,6,Trace Manes Park, Leaside Tennis ClubWebsite: http://www.leasidetennis.orgMembership: Waitlist,43.7057324,-79.36750046,,43.7057324,-79.36750046
Trinity Bellwoods Park,,Yes,Public,No,4,Trinity Bellwoods Park,,43.64756465,-79.4138809,"43.646587832799, -79.4125282272721",43.64658783,-79.41252823
